name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,28421,277935241,,,,,,,113.85493,22.6209809,,,
,28422,277729743,,,,,,,113.8550951,22.6208104,,,
,28423,9044994797,,,,,,,113.8886697,22.5772936,,,
,28424,295527984,,,,,,,113.892208,22.5789464,,,
,28425,9001875452,,,,,,,113.9146685,22.5781185,,,
,28426,9001875450,,,,,,,113.9146111,22.5780691,,,
,28427,9001875455,,,,,,,113.9144363,22.5783513,,,
,28428,9001875454,,,,,,,113.9143816,22.5782979,,,
,28429,7170734805,traffic_signals,,signal,,,,113.9154294,22.590864,,,
,28430,2500379015,,,,,,,113.9000138,22.5965847,,,
,28431,8514602987,traffic_signals,,signal,,,,113.8965207,22.5979978,,,
,28432,8514602990,traffic_signals,,signal,,,,113.8961931,22.598182,,,
,28433,2134362190,,,,,,,113.8868294,22.6040533,,,
,28434,2134362205,,,,,,,113.886829,22.6039783,,,
,28435,7038280550,,,,,,,113.8843341,22.6129754,,,
,28436,2505982066,,,,,,,113.8850059,22.6019689,,,
,28437,2500374307,,,,,,,113.8787899,22.5925246,,,
,28438,7204681949,traffic_signals,,signal,,,,113.891688,22.5933607,,,
,28439,8940664134,,,,,,,113.8915052,22.5846675,,,
,28440,9044994681,traffic_signals,,signal,,,,113.9040646,22.5621335,,,
,28441,9044994702,,,,,,,113.9039662,22.562048,,,
,28442,7170734810,traffic_signals,,signal,,,,113.9180351,22.5881543,,,
,28443,5179842108,traffic_signals,,signal,,,,113.8789948,22.5926038,,,
,28444,2500374349,,,,,,,113.8786239,22.5924622,,,
,28445,6315482956,,,,,,,113.868911,22.5854164,,,
,28446,5179842115,traffic_signals,,signal,,,,113.8633557,22.5804185,,,
,28447,2683623821,,,,,,,113.8597251,22.576639,,,
,28448,1169603075,,,,,,,113.8598094,22.5767272,,,
,28449,5179851435,traffic_signals,,signal,,,,113.8598093,22.5769868,,,
,28450,5179851436,traffic_signals,,signal,,,,113.8596055,22.5765139,,,
,28451,2683568287,traffic_signals,,signal,,,,113.8599275,22.576633,,,
,28452,5967534553,traffic_signals,,signal,,,,113.8657969,22.5721701,,,
,28453,2683623814,,,,,,,113.8656334,22.5719463,,,
,28454,5967534554,traffic_signals,,signal,,,,113.8655151,22.5720415,,,
,28455,2683623836,,,,,,,113.8657397,22.5718653,,,
,28456,5967534552,traffic_signals,,signal,,,,113.8659153,22.5719047,,,
,28457,5967534551,traffic_signals,,signal,,,,113.8656661,22.5717654,,,
,28458,5967535287,traffic_signals,,signal,,,,113.8633729,22.5688774,,,
,28459,5170102302,traffic_signals,,signal,,,,113.8702652,22.5628739,,,
,28460,5179677460,traffic_signals,,signal,,,,113.8765859,22.5634195,,,
,28461,5170102301,traffic_signals,,signal,,,,113.8704462,22.5629154,,,
,28462,2691216426,,,,,,,113.8660355,22.5541357,,,
,28463,5179675467,traffic_signals,,signal,,,,113.867975,22.5558144,,,
,28464,5179675469,traffic_signals,,signal,,,,113.870379,22.5578982,,,
,28465,2691216410,traffic_signals,,signal,,,,113.8728547,22.5600442,,,
,28466,4729141029,traffic_signals,,signal,,,,113.8727585,22.5603641,,,
,28467,5179675479,traffic_signals,,signal,,,,113.8753932,22.5575075,,,
,28468,2468759370,,,,,,,113.8756583,22.5577311,,,
,28469,5179675481,traffic_signals,,signal,,,,113.8757943,22.5575962,,,
,28470,5179675480,traffic_signals,,signal,,,,113.8756637,22.5579322,,,
,28471,2468759297,,,,,,,113.8755535,22.5578352,,,
,28472,5179675488,traffic_signals,,signal,,,,113.8821313,22.5577347,,,
,28473,5179677456,traffic_signals,,signal,,,,113.8792673,22.5606457,,,
,28474,5179677455,traffic_signals,,signal,,,,113.8789596,22.560592,,,
,28475,5179677492,traffic_signals,,signal,,,,113.8949081,22.5542962,,,
,28476,9044994678,traffic_signals,,signal,,,,113.9067464,22.5643226,,,
,28477,5179842111,traffic_signals,,signal,,,,113.8784496,22.5926423,,,
,28478,9001875463,,,,,,,113.8716512,22.5747124,,,
,28479,5963060258,traffic_signals,,signal,,,,113.8755946,22.5717769,,,
,28480,9001875466,,,,,,,113.8719654,22.5743499,,,
,28481,9001875467,,,,,,,113.8718515,22.5742106,,,
,28482,5963060259,traffic_signals,,signal,,,,113.8750456,22.571929,,,
,28483,9001875470,,,,,,,113.8713795,22.5743802,,,
,28484,9004451277,,,,,,,114.3255549,22.7885119,,,
,28485,9004451278,,,,,,,114.3256717,22.7884561,,,
,28486,9004454656,,,,,,,114.3209334,22.7776119,,,
,28487,7357450659,,,,,,,114.3223376,22.7777609,,,
,28488,8911040373,,,,,,,113.8439542,22.8106498,,,
,28489,8911117252,,,,,,,113.8441068,22.8066502,,,
,28490,8909842721,,,,,,,113.844104,22.8068251,,,
,28491,8911039880,,,,,,,113.8440361,22.8106303,,,
,28492,8909842638,traffic_signals,,signal,,,,113.8440202,22.8115036,,,
,28493,8909842744,,,,,,,113.8440168,22.8116963,,,
,28494,8909842605,traffic_signals,,signal,,,,113.8442135,22.8117529,,,
,28495,7839739904,traffic_signals,,signal,,,,113.8402624,22.8117033,,,
,28496,8909842543,traffic_signals,,signal,,,,113.8400718,22.8114609,,,
,28497,8909842601,traffic_signals,,signal,,,,113.8437188,22.8116939,,,
