name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,100,5271082995,,,,,,,-8.6680565,41.1969597,,,
,101,4081010512,,,,,,,-8.66579,41.2001118,,,
,102,4391180268,,,,,,,-8.6698359,41.1925595,,,
,103,64659447,,,,,,,-8.669705,41.1924549,,,
,104,64659446,,,,,,,-8.6697251,41.1924363,,,
,105,64661188,,,,,,,-8.6760814,41.1870192,,,
,106,64661315,,,,,,,-8.6757687,41.187144,,,
,107,64661190,,,,,,,-8.6770631,41.1866438,,,
,108,777426097,crossing,,,,,,-8.6737625,41.1899115,,,
,109,64661170,,,,,,,-8.6699774,41.1899038,,,
,110,64668915,,,,,,,-8.6631177,41.2034226,,,
,111,64668918,,,,,,,-8.6637035,41.2032597,,,
,112,64669973,,,,,,,-8.6579091,41.2039696,,,
,113,87006477,,,,,,,-8.6640022,41.2029033,,,
,114,87006487,,,,,,,-8.6639727,41.2032437,,,
,115,64669640,,,,,,,-8.6646254,41.2033504,,,
,116,87009269,,,,,,,-8.6771388,41.2103117,,,
,117,1725592522,,,,,,,-8.6707885,41.2078714,,,
,118,64669540,,,,,,,-8.6636828,41.2028784,,,
,119,64669021,,,,,,,-8.6635393,41.2030993,,,
,120,87057062,,,,,,,-8.6746934,41.1903634,,,
,121,4391182173,,,,,,,-8.6694191,41.1918755,,,
,122,1264279461,,,,,,,-8.6565152,41.1624296,,,
,123,1106228175,,,,,,,-8.6564709,41.1618684,,,
,124,311887112,,,,,,,-8.6734964,41.154685,,,
,125,311888929,,,,,,,-8.6738978,41.1544446,,,
,126,111447963,,,,,,,-8.6548132,41.1482725,,,
,127,111447960,,,,,,,-8.6541346,41.1484224,,,
,128,1239645067,,,,,,,-8.6880244,41.1675849,,,
,129,784545910,,,,,,,-8.6879218,41.1679735,,,
,130,111429621,,,,,,,-8.68815,41.1671451,,,
,131,1249809161,,,,,,,-8.6881081,41.1675078,,,
,132,2178845899,,,,,,,-8.6532288,41.1484051,,,
,133,111449494,,,,,,,-8.6532736,41.1485143,,,
,134,479435788,,,,,,,-8.6509062,41.1506993,,,
,135,111450380,,,,,,,-8.6532324,41.1483481,,,
,136,111459780,,,,,,,-8.6359246,41.1481085,,,
,137,111448461,,,,,,,-8.6533216,41.1485592,,,
,138,1353859185,,,,,,,-8.6538459,41.149155,,,
,139,1353859198,,,,,,,-8.654042,41.1493812,,,
,140,111448467,,,,,,,-8.6540582,41.1486712,,,
,141,2262827509,,,,,,,-8.6543225,41.1485299,,,
,142,129667176,,,,,,,-8.656015,41.1504079,,,
,143,129665112,,,,,,,-8.6565083,41.1508289,,,
,144,128668303,,,,,,,-8.6573042,41.1511072,,,
,145,111447973,,,,,,,-8.6613495,41.147489,,,
Campo Alegre,146,26016466,motorway_junction,,,,,,-8.6408358,41.1497612,,,
,147,1110673479,,,,,,,-8.6381032,41.151072,,,
,148,129788146,,,,,,,-8.6356995,41.151081,,,
,149,1110673564,,,,,,,-8.6358814,41.151023,,,
Campo Alegre,150,111464592,motorway_junction,,,,,,-8.6449368,41.1539618,,,
,151,1110673511,,,,,,,-8.637858,41.1501576,,,
,152,111467273,,,,,,,-8.6307201,41.145592,,,
,153,111467287,,,,,,,-8.6268987,41.1447278,,,
,154,437000331,,,,,,,-8.6397208,41.1451986,,,
,155,4565533064,,,,,,,-8.6404609,41.1482314,,,
,156,1675107770,crossing,,,,,,-8.6725063,41.1490406,,,
,157,111505998,,,,,,,-8.6882792,41.1726625,,,
,158,4468029535,,,,,,,-8.6876178,41.1716603,,,
,159,111503635,,,,,,,-8.6880628,41.1684974,,,
,160,111428008,,,,,,,-8.6884635,41.1683804,,,
,161,111428003,,,,,,,-8.6880264,41.1681621,,,
,162,111619640,,,,,,,-8.689151,41.1735769,,,
,163,111619646,,,,,,,-8.6886988,41.1729125,,,
,164,111508341,,,,,,,-8.6884308,41.1736164,,,
,165,111627979,crossing,,,,,,-8.6891266,41.1765964,,,
,166,111635267,,,,,,,-8.6563058,41.1783009,,,
,167,8262464735,traffic_signals,,signal,,,,-8.6562323,41.1781994,,,
,168,96497243,traffic_signals,,signal,,,,-8.6563346,41.1778207,,,
,169,111635403,,,,,,,-8.6560048,41.178011,,,
